"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway","11/233","118/10563",0.0932203389830508,4.22612206299556,5.29259251273292,5.70825960504154e-05,0.0167252006427717,0.0147213010866861,"Creb3l2/Il6/Junb/Atf4/Map2k3/Vegfc/Jun/Csf1/Cebpb/Lif/Tnf",11
"Environmental Information Processing","Signal transduction","mmu04151","PI3K-Akt signaling pathway","20/233","368/10563",0.0543478260869565,2.46384586676619,4.2926603445382,0.000183482366722296,0.0268801667248163,0.0236595683405066,"Creb3l2/Myc/Cdkn1b/Il6/Osm/Ddit4/Fgf15/Atf4/Tgfa/Vegfc/Epor/Pdgfa/Itgb3/Pik3r6/Csf1/Bcl2l11/Mtcp1/Gng4/Nr4a1/Ppp2r3a",20
"Environmental Information Processing","Signal transduction","mmu04010","MAPK signaling pathway","17/233","299/10563",0.0568561872909699,2.5775618298477,4.15589478041947,0.000334029550384675,0.0326235527542366,0.0287148209979809,"Myc/Dusp6/Mapt/Fgf15/Atf4/Map2k3/Tgfa/Vegfc/Jun/Pdgfa/Dusp4/Csf1/Dusp5/Nr4a1/Dusp7/Gadd45b/Tnf",17
"Human Diseases","Infectious disease: viral","mmu05169","Epstein-Barr virus infection","14/233","228/10563",0.0614035087719298,2.78371357578496,4.08919839889851,0.000524307406884863,0.0384055175543162,0.0338040301807346,"Myc/Cdkn1b/Il6/Irf7/Stat2/Map2k3/Jun/H2-Q6/Bcl2l11/Ddb2/Oas3/Gadd45b/Cir1/Tnf",14
"Metabolism","Carbohydrate metabolism","mmu00630","Glyoxylate and dicarboxylate metabolism","5/233","33/10563",0.151515151515152,6.86890362856028,5.07108212418175,0.000716834803012505,0.0412029828577481,0.0362663222566851,"Gcsh/Acss2/Shmt1/Afmid/Hyi",5
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation","10/233","136/10563",0.0735294117647059,3.33343852562484,4.11326805445011,0.000843747089237163,0.0412029828577481,0.0362663222566851,"Junb/Socs1/Stat2/Jun/Itgb3/Fosl1/Csf1/Pirb/Fosb/Tnf",10
"Human Diseases","Infectious disease: viral","mmu05161","Hepatitis B","11/233","164/10563",0.0670731707317073,3.04074636239925,3.95563350958476,0.00100928577579105,0.0422458189009682,0.0371842127923018,"Creb3l2/Myc/Il6/Irf7/Stat2/Atf4/Egr3/Map2k3/Jun/Ddb2/Tnf",11
"Genetic Information Processing","Translation","mmu03008","Ribosome biogenesis in eukaryotes","10/233","156/10563",0.0641025641025641,2.9060746120832,3.60197173080879,0.00237437235630511,0.0869613875496745,0.0765422667493093,"Wdr43/Gtpbp4/Nop56/Utp4/Nop58/Gnl3/Utp18/Nat10/Pop1/Nmd3",10
"Cellular Processes","Transport and catabolism","mmu04148","Efferocytosis","10/233","163/10563",0.0613496932515337,2.78127386187103,3.44198290532181,0.00326507277586799,0.104079929009819,0.0916097812373115,"Odc1/Epor/Itgb3/Dusp4/Atp8a2/Cpt1a/Slc16a1/Cebpb/Dusp5/Dusp7",10
"Human Diseases","Drug resistance: antineoplastic","mmu01523","Antifolate resistance","4/233","29/10563",0.137931034482759,6.25307088944798,4.2541861058264,0.00355221600716106,0.104079929009819,0.0916097812373115,"Il6/Shmt1/Slc19a1/Tnf",4
