"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis","19/490","109/10563",0.174311926605505,3.75766710353866,6.38271634182213,5.31726842327658e-07,0.000132738396658866,0.000103708652505619,"Il10ra/Itga6/Nfkbia/Bcl2/Igtp/Irgm1/Ifngr2/Tnf/Irgm2/Tlr2/Map2k6/H2-Eb1/H2-Ab1/H2-Oa/H2-DMb2/Hspa1b/Lamb3/Tlr4/H2-Aa",19
"Cellular Processes","Cell growth and death","mmu04110","Cell cycle","23/490","157/10563",0.146496815286624,3.15805277525023,6.00843934306549,8.75850770154383e-07,0.000132738396658866,0.000103708652505619,"Myc/Ccnb2/Ccnb1/Ccnd2/Aurkb/Ccna2/Cdk1/Bub1/Bub1b/Knl1/Cdkn2d/E2f2/Cdc25b/Cdca5/Cdkn2c/Esco2/Ndc80/Ccne1/Fbxo5/Pttg1/Cdc25c/Ccnd1/Cdc14b",23
"Organismal Systems","Immune system","mmu04640","Hematopoietic cell lineage","17/490","94/10563",0.180851063829787,3.89863221884498,6.22581407092812,1.23669313657329e-06,0.000132738396658866,0.000103708652505619,"Kit/Itga2b/Il6/Il4ra/Itga6/Flt3l/Tnf/H2-Eb1/Itgb3/Cd14/H2-Ab1/H2-Oa/H2-DMb2/Cd44/Gp9/Gp5/H2-Aa",17
"Human Diseases","Immune disease","mmu05321","Inflammatory bowel disease","13/490","62/10563",0.209677419354839,4.52004608294931,6.13084828644845,4.04669549782763e-06,0.000325758987575124,0.000254515848416001,"Il6/Il4ra/Ifngr2/Il18rap/Tnf/Tlr2/H2-Eb1/Il13/H2-Ab1/H2-Oa/H2-DMb2/Tlr4/H2-Aa",13
"Human Diseases","Infectious disease: viral","mmu05169","Epstein-Barr virus infection","27/490","228/10563",0.118421052631579,2.55281954887218,5.22787117895442,6.82812063559576e-06,0.000439730968932367,0.000343562280401555,"Myc/Calr/Il6/Ccnd2/Ccna2/Nfkbia/Bcl2/E2f2/Relb/Ccne1/Tnf/Tnfaip3/Sap30/Oas3/Tlr2/Map2k6/Blnk/H2-Eb1/Isg15/Cir1/Ccnd1/H2-Ab1/H2-Oa/H2-DMb2/Cd44/Hes1/H2-Aa",27
"Human Diseases","Immune disease","mmu05310","Asthma","8/490","25/10563",0.32,6.89828571428571,6.5119104238545,1.08830787697844e-05,0.000584058560645095,0.000456325583504994,"Ms4a2/Tnf/H2-Eb1/Il13/H2-Ab1/H2-Oa/H2-DMb2/H2-Aa",8
"Cellular Processes","Cell growth and death","mmu04115","p53 signaling pathway","13/490","75/10563",0.173333333333333,3.73657142857143,5.24545040663617,3.55013472530744e-05,0.00163306197364142,0.00127591308172703,"Ccnb2/Rrm2/Ccnb1/Ccnd2/Rprm/Cdk1/Bcl2/Gtse1/Ccne1/Serpine1/Cd82/Ccnd1/Sesn3",13
"Human Diseases","Immune disease","mmu05323","Rheumatoid arthritis","14/490","87/10563",0.160919540229885,3.46896551724138,5.09998161441977,4.24442055562664e-05,0.00170837927363972,0.0013347585694668,"Il6/Ccl2/Tcirg1/Angpt1/Tnf/Atp6v1g2/Tlr2/Ccl3/H2-Eb1/H2-Ab1/H2-Oa/H2-DMb2/Tlr4/H2-Aa",14
"Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis","12/490","70/10563",0.171428571428571,3.69551020408163,4.99035990873467,7.90452712416956e-05,0.00282806414886955,0.0022095695703819,"Nfkbia/Ifngr2/Tnf/C3/Tlr2/H2-Eb1/Marcksl1/H2-Ab1/H2-Oa/H2-DMb2/Tlr4/H2-Aa",12
"Metabolism","Energy metabolism","mmu00190","Oxidative phosphorylation","18/490","141/10563",0.127659574468085,2.75197568389058,4.61906209631557,8.828357581813e-05,0.00284273114134379,0.00222102890742453,"Ndufa4/Ndufb8/Ndufa9/Tcirg1/Ndufs5/mt-Nd4/mt-Cytb/mt-Nd5/Atp5me/Atp6v1g2/Ndufb1/mt-Nd6/Lhpp/mt-Nd4l/mt-Co2/mt-Atp6/Ndufa12/Cox17",18
